00:02:04 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:05 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:06 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:07 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:08 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:09 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:10 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:11 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:12 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:13 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:14 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:15 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:16 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:17 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:18 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:19 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:20 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:21 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
00:02:22 [SensorSim.Data.Position, Color [A=255, R=177, G=68, B=205]] [SensorSim.Data.Position, Color [A=255, R=154, G=92, B=130]]
